K_18	K_19	G_20	K_21	K_22	K_23	G_24	G_25	G_26	G_27
1007_s_at	281.8	254.15	407.25	384.4	542.8	282.65	302.4	5347.65	404.8	317.55
1053_at	111.4	105.65	187.4	139.15	571.25	97.3	147.65	156.9	195.15	181.9
117_at	151.8	120.4	187.65	163.8	263.8	214.25	110.075	222.05	243.9	327.65
121_at	399.65	296.25	576.05	579.25	671.9	414.75	497.65	562.3	1111.9	558.4
1255_g_at	94.25	74.05	133.5	119.65	100.25	79.9	592.15	99.5	1111.9	200.4
1294_at	230.75	322.05	133.5	322.15	5407.55	410.9	592.15	516.65	556.5	453.25
1316_at	140.75	92.05	159.05	187.3	196.05	113.4	147.55	162.4	173.0	272.8
1320_at	83.8	405.4	357.75	405.4	142.3	93.9	126.15	118.75	141.4	239.9
1405_i_at	77.55	405.4	357.75	405.4	1574.15	85.75	6217.65	102.55	488.54999999999995	209.05
1431_at	5347.65	79.55	106.9	224.25	118.0	96.4	119.3	84.65	488.54999999999995	189.55
1438_at	5347.65	78.65	270.15	224.25	296.9	184.4	245.0	231.65	839.15	338.8
1487_at	5347.65	192.15	324.5	97.0	369.8	262.3	323.65	301.4	839.15	337.8
1494_f_at	97.0	181.15	102.05	97.0	252.55	168.4	252.4	970.5	2010.4	320.9
1598_g_at	97.0	97.0	102.05	97.0	252.55	368.05	539.25	970.5	7144.15	646.65
160020_at	97.0	97.0	361.15	409.8	252.55	250.75	333.8	970.5	7144.15	88.4
1729_at	256.15	97.0	367.25	344.75	252.55	260.15	350.9	970.5	7144.15	88.4
1773_at	83.5	97.0	149.25	126.65	252.55	129.5	155.4	142.3	115.75	392.15
177_at	405.4	97.0	156.9	586.0	373.4	148.25	1072.65	150.25	115.75	219.55
179_at	405.4	97.0	717.9	634.5	373.4	440.5	1072.65	661.55	730.75	821.75
1861_at	405.4	97.0	173.65	197.65	253.9	126.15	1072.65	154.8	9826.5	268.4
200000_s_at	405.4	561.0	934.5	7170.9	253.9	661.0	77.8	794.3	9826.5	792.5
200001_at	405.4	609.0	1121.3	7170.9	5708.4	685.3	77.8	918.3	9826.5	1204.3
200002_at	405.4	4122.5	193.65	361.8	5708.4	1720.3	77.8	3749.8	5441.1	4048.3
200003_s_at	130.15	5493.0	193.65	361.8	5757.05	424.3	8023.8	5558.0	5441.1	6057.3
200004_at	130.15	1624.0	1939.3	361.8	5757.05	424.3	1973.5	1794.8	1129.55	1552.3
200005_at	130.15	736.0	1405.5	207.15	5757.05	424.3	1059.3	1140.0	3357.85	1210.5
200006_at	130.15	652.3	624.5	207.15	5757.05	424.3	387.4	253.9	3357.85	373.4
200007_at	130.15	901.3	1345.8	207.15	5757.05	752.3	387.4	253.9	654.15	373.4
